ID,Name,Concepticon_ID,Concepticon_Gloss,French_Gloss
161_knife,KNIFE,1352,KNIFE,couteau
162_knowsomething,KNOW (SOMETHING),1410,KNOW (SOMETHING),"connaître, savoir, reconnaître, remarquer"
163_shell,SHELL,598,SHELL,écaille
164_laughter,LAUGHTER,2958,LAUGHTER,le rire
165_leaf,LEAF,628,LEAF,feuille
166_leave,LEAVE,1752,LEAVE,abandonner
167_left,LEFT,244,LEFT,(main etc.) gauche
168_lick,LICK,319,LICK,lécher
169_liedown,LIE DOWN,215,LIE DOWN,"coucher, étendre, allonger, étaler"
170_bring,BRING,692,BRING,"amener, venir avec; amorcer (une matière, dans un discours)"
171_easy,EASY,686,EASY,"ê. faible, facile, à bon marché"
172_limp,LIMP,366,LIMP,boiter
173_lion,LION,1386,LION,lion
174_lock,LOCK,1596,LOCK,couvercle; fermeture
175_look,LOOK,1819,LOOK,"examiner, regarder"
176_lookfor,LOOK FOR,1468,LOOK FOR,chercher
177_louse,LOUSE,1392,LOUSE,pou
178_eatlunch,EAT LUNCH,,,déjeuner
179_lung,LUNG,688,LUNG,poumon
180_maize,MAIZE,506,MAIZE,maïs
181_man,MAN,1554,MAN,homme
182_market,MARKET,633,MARKET,marché
183_marrow,MARROW,1835,MARROW,moelle
184_marry,MARRY,203,MARRY,(homme) épouser (femme)
185_mat,MAT,195,MAT,natte
186_meal,MEAL,1526,MEAL,repas
187_meat,MEAT,634,MEAT,viande
188_medicine,MEDICINE,1372,MEDICINE,médicament
189_meet,MEET,1831,MEET,"(individus) se rassembler, se réunir"
190_milk,MILK,635,MILK,lait
191_millet,MILLET,931,MILLET,mil
192_money,MONEY,1559,MONEY,argent
193_moon,MOON,1313,MOON,lune
194_mosque,MOSQUE,1603,MOSQUE,mosquéé
195_mother,MOTHER,1216,MOTHER,mère
196_mouse,MOUSE,1491,MOUSE,souris
197_mouth,MOUTH,674,MOUTH,bouche
198_mud,MUD,640,MUD,boue
199_name,NAME,1405,NAME,nom
200_narrow,NARROW,1267,NARROW,coincé
201_near,NEAR,1942,NEAR,proche
202_neck,NECK,1333,NECK,cou
203_neednoun,NEED (NOUN),643,NEED (NOUN),besoin
204_neighbour,NEIGHBOUR,1332,NEIGHBOUR,voisin
205_new,NEW,1231,NEW,nouveau
206_night,NIGHT,1233,NIGHT,nuit
207_nine,NINE,1483,NINE,neuf
208_noble,NOBLE,482,NOBLE,noble (non esclave)
209_nose,NOSE,1221,NOSE,nez
210_now,NOW,1376,NOW,maintenant
211_nurse,NURSE,1104,NURSE,"(femelle) allaiter, faire téter (enfant)"
212_old,OLD,1229,OLD,"âgé, vieux (person)"
213_oldman,OLD MAN,406,OLD MAN,vieil homme
214_oldwoman,OLD WOMAN,907,OLD WOMAN,vieille femme
215_one,ONE,1493,ONE,un
216_onion,ONION,2366,ONION,"Allium (diverses var. cultivéés), oignon"
217_open,OPEN,1156,OPEN,"découvrir (qch, qn), ouvrir (porte, récipient)"
218_orphan,ORPHAN,1149,ORPHAN,orphelin
219_other,OTHER,197,OTHER,autre
220_pathorroad,PATH OR ROAD,2457,PATH OR ROAD,chemin
221_penis,PENIS,1222,PENIS,"membre viril, sexe de l’homme"
222_person,PERSON,683,PERSON,chose ou personne jolie
223_pestle,PESTLE,225,PESTLE,pilon
224_pick,PICK,2148,PICK,cueiller (fruit)
225_pig,PIG,1337,PIG,cochon
226_urine,URINE,,,urine
227_placeposition,PLACE (POSITION),723,PLACE (POSITION),lieu
228_plastic,PLASTIC,654,PLASTIC,"caoutchouc, sac (en plastique); ballon"
229_pocket,POCKET,1851,POCKET,poche
230_price,PRICE,657,PRICE,prix
231_paintsomethingorpainting,PAINT (SOMETHING) OR PAINTING,3194,PAINT (SOMETHING) OR PAINTING,dessiner
232_pumpkin,PUMPKIN,864,PUMPKIN,courge
233_push,PUSH,1452,PUSH,"enfoncer, pousser"
234_rainprecipitation,RAIN (PRECIPITATION),658,RAIN (PRECIPITATION),pluie
235_rainbow,RAINBOW,1733,RAINBOW,arc-en-ciel
236_raw,RAW,1959,RAW,"(viande) cru, non cuit"
237_razor,RAZOR,151,RAZOR,rasoir
238_red,RED,156,RED,rouge
239_rib,RIB,801,RIB,(une) côte
240_right,RIGHT,1019,RIGHT,(main etc.) droit
241_ring,RING,1374,RING,anneau
242_river,RIVER,666,RIVER,fleuve
243_roof,ROOF,769,ROOF,terrasse (au toit)
244_root,ROOT,670,ROOT,"nerf, tendon, vaisseau sanguin, corde d’instrument de musique, air de musique, racine"
245_rotten,ROTTEN,1728,ROTTEN,ê. pourri
246_rough,ROUGH,1923,ROUGH,(surface) raide
247_run,RUN,1519,RUN,courir
248_salt,SALT,1274,SALT,sel
249_sand,SAND,671,SAND,sable
250_say,SAY,1458,SAY,dire
251_scale,SCALE,266,SCALE,écaille (de poisson ou de serpent)
252_see,SEE,1409,SEE,voir
253_sell,SELL,1571,SELL,vendre
254_send,SEND,1127,SEND,envoyer
255_seven,SEVEN,1704,SEVEN,sept
256_sew,SEW,1457,SEW,coudre
257_sharp,SHARP,1396,SHARP,(lame) ê. tranchante
258_sheep,SHEEP,1331,SHEEP,mouton
259_shepherd,SHEPHERD,2544,SHEPHERD,berger
260_shitdefecate,SHIT (DEFECATE),676,SHIT (DEFECATE),"defecate, have a shit"
261_shoe,SHOE,1381,SHOE,chaussure
262_short,SHORT,1645,SHORT,court
263_show,SHOW,1039,SHOW,"exposer, montrer (qqch)"
264_sickleorscythe,SICKLE OR SCYTHE,2132,SICKLE OR SCYTHE,faucille
265_similar,SIMILAR,1558,SIMILAR,"comme, pareil à"
266_sing,SING,1261,SING,"chant, chanson"
267_sit,SIT,1416,SIT,"asseoir, installer, habiter"
268_six,SIX,1703,SIX,six
269_skin,SKIN,763,SKIN,peau
270_sky,SKY,1732,SKY,"(le) haut, ciel"
271_slave,SLAVE,812,SLAVE,"captif, esclave"
272_sleep,SLEEP,1585,SLEEP,dormir
273_slip,SLIP,1324,SLIP,(qn) glisser
274_small,SMALL,1246,SMALL,ê. petit
275_smell,SMELL,2124,SMELL,odeur
276_smoke,SMOKE,778,SMOKE (EXHAUST),fuméé
277_smooth,SMOOTH,1234,SMOOTH,"aplanir, aplatir (surface d’un mur, ou sol d’une maison, avec une truelle.)"
278_snake,SNAKE,730,SNAKE,serpent
279_soap,SOAP,788,SOAP,savon
280_song,SONG,1096,SONG,chan
281_slingshot,SLINGSHOT,,,"caoutchouc, lance-pierres"
282_spin,SPIN,121,SPIN,filer (coton)
283_spirit,SPIRIT,53,SPIRIT,"âme, esprit vital (d'un vivant)"
284_spit,SPIT,1440,SPIT,cracher
285_spleen,SPLEEN,1744,SPLEEN,rate
286_trapcatch,TRAP (CATCH),1170,TRAP (CATCH),(piège) sauter
287_star,STAR,1430,STAR,etoile
288_steal,STEAL,713,STEAL,voler
289_stomach,STOMACH,819,STOMACH,estomac
290_stone,STONE,857,STONE,"petite pierre, caillou, gravier"
291_strikeorbeat,STRIKE OR BEAT,2133,STRIKE OR BEAT,"gifler, frapper, battre"
292_suck,SUCK,1421,SUCK,"lécher, sucer"
293_sugar,SUGAR,862,SUGAR,sucre
294_sun,SUN,1343,SUN,soleil
295_swallow,SWALLOW,897,SWALLOW,avale
296_sweep,SWEEP,230,SWEEP,balayer
297_sweet,SWEET,717,SWEET,"(goût) doux, sucré"
298_swim,SWIM,1439,SWIM,nager
299_tail,TAIL,1220,TAIL,queue
300_talk,TALK,2708,TALK,"dire, parler"
301_taste,TASTE,21,TASTE (SOMETHING),goûter
302_tea,TEA,1373,TEA,thé
303_testicles,TESTICLES,797,TESTICLES,"oeuf, testicule"
304_thick,THICK,1244,THICK,(bâton etc.) épais
305_thigh,THIGH,800,THIGH,cuisse
306_thing,THING,738,THING,chose
307_think,THINK,2271,THINK,croire; réfléchir
308_spike,SPIKE,1249,SPIKE,épine
309_thousand,THOUSAND,1843,THOUSAND,mille
310_three,THREE,492,THREE,trois
311_throat,THROAT,1346,THROAT,"cou, gorge, col"
312_throw,THROW,1456,THROW,jeter
313_tie,TIE,1917,TIE,attacher
314_tobacco,TOBACCO,974,TOBACCO,tabac
315_toe,TOE,1389,TOE,"doigt, orteil"
316_tomorrow,TOMORROW,1329,TOMORROW,demain
317_tongs,TONGS,272,TONGS,pinces (pour enlever les échardes); pinces (du forgeron)
318_tongue,TONGUE,1205,TONGUE,lâcher
319_tooth,TOOTH,1380,TOOTH,dent
320_touch,TOUCH,1892,TOUCH,toucher
321_trappitfall,TRAP (PITFALL),1075,TRAP (PITFALL),piège
322_traverse,TRAVERSE,1742,TRAVERSE,"casser, détruire ; traverser"
323_tree,TREE,906,TREE,arbre
324_trough,TROUGH,205,TROUGH,abreuvoir
325_twenty,TWENTY,1710,TWENTY,vingt
326_twice,TWICE,1546,TWICE,deux fois
327_two,TWO,1498,TWO,deux
328_untie,UNTIE,352,UNTIE,"délier, lâcher (animal etc.)"
329_urine,URINE,1142,URINE,urine
330_vagina,VAGINA,1836,VAGINA,vagin
331_village,VILLAGE,930,VILLAGE,"côté, village, pays natal"
332_pay,PAY,718,PAY,"payer, rembourser (qn)"
333_wallofhouse,WALL (OF HOUSE),933,WALL (OF HOUSE),mur
334_water,WATER,948,WATER,eau
335_weave,WEAVE,133,WEAVE,tisser
336_week,WEEK,1469,WEEK,semaine
337_soaked,SOAKED,,,"complètement trempé, très mouillé"
338_white,WHITE,1335,WHITE,"blanc (de l'oeil, de l'oeuf)"
339_wife,WIFE,1199,WIFE,épouse
340_wind,WIND,960,WIND,vent
341_wing,WING,1257,WING,aile
342_woman,WOMAN,962,WOMAN,femme
343_wood,WOOD,1803,WOOD,bois
344_worklabour,WORK (LABOUR),984,WORK (LABOUR),travail
345_world,WORLD,965,WORLD,"le monde, la vie"
346_wrapper,WRAPPER,462,WRAPPER,pagne
347_year,YEAR,1226,YEAR,an / annéé
348_yellow,YELLOW,1424,YELLOW,ê. jaune
