NUMBER	ENGLISH	FRENCH	CONCEPTICON_ID
135	GUTS	entrailles	1334
136	HAIR	cheveu	1040
137	HAND	main	1277
138	HANG UP	accrocher, suspendre	357
139	HEAD	tête	1256
140	HEAR	entendre	1408
141	HEAVY	dur, difficile, lourd	1210
142	HELP	aider	1897
143	HIDE (CONCEAL)	cacher	602
144	HIP	hanche	1745
145	HONEY	miel	942
146	HORN (ANATOMY)	corne	1393
147	HORSE	cheval	615
148	HOST	accueillir, recevoir	1545
149	HOT	chaud	1286
150	HUNDRED	cent	1634
151	HUNT	chasse (fait de faire la)	1435
152	HUSBAND	époux, mari	1200
153	INJURE	blesser	44
154	IRON	fer	621
155	JAW	mâchoire	798
156	JOINT	articulation	999
157	KEY	clé	1472
158	KIDNEY	rate	489
159	KILL	tuer	1417
160	KNEE	donner un coup de genou à [cf. kànjè].	1371
161	KNEEL	(qn, chameau) s'agenouiller	66
162	KNIFE	couteau	1352
163	KNOW (SOMETHING)	connaître, savoir, reconnaître, remarquer	1410
164	LADDER	écaille	1464
165	LAUGH	le rire	1355
166	LEAF	feuille	628
167	LEAVE	abandonner	1752
168	LEFT	(main etc.) gauche	244
169	LICK	lécher	319
170	LIE DOWN	coucher, étendre, allonger, étaler	215
171	LIFT	amener, venir avec; amorcer (une matière, dans un discours) [irregular combination of kà ‘come’ plus ndù ‘with’; 3SgO kà:-.d-â, Imprt with 3SgO kà:-nd-â without -.suffix] [< kà 2].	501
172	LIGHT (WEIGHT)	ê. faible, facile, à bon marché	1052
173	LIMP	boiter	366
174	LION	lion	1386
175	LOCK	couvercle; fermeture.	1596
176	LOOK	examiner, regarder	1819
177	LOOK FOR	chercher	1468
178	LOUSE	pou	1392
179	LUNCH	déjeuner	768
180	LUNG	poumon	688
181	MAIZE	maïs	506
182	MAN	homme	1554
183	MARKET	marché	633
184	MARROW	moelle	1835
185	MARRY	(homme) épouser (femme)	203
186	MAT	natte	195
187	MEAL	repas	1526
188	MEAT	viande	634
189	MEDICINE	médicament	499
190	MEET	(individus) se rassembler, se réunir	1831
191	MILK	lait	635
192	MILLET	mil	931
193	MONEY	argent	1559
194	MOON	lune	1313
195	MOSQUE	mosquéé	1603
196	MOTHER	mère	1216
197	MOUSE	souris	1491
198	MOUTH	bouche	674
199	MUD	boue	640
200	NAME	nom	1405
201	NARROW	coincé	1267
202	NEAR	proche	1942
203	NECK	cou	1333
204	NEED (NOUN)	besoin	643
205	NEIGHBOR	voisin	643
206	NEIGHBOUR	voisin	1332
207	NEW	nouveau	1231
208	NIGHT	nuit	1233
209	NINE	neuf	1483
210	NOBLE	noble (non esclave)	482
211	NOSE	nez	1221
212	NOW	maintenant	1376
213	NURSE	(femelle) allaiter, faire téter (enfant)	1104
214	OLD	âgé, vieux (person)	1229
215	OLD MAN	vieil homme	406
216	OLD WOMAN	vieille femme	907
217	ONE	un	1493
218	ONION	Allium (diverses var. cultivéés), oignon	2366
219	OPEN	découvrir (qch, qn), ouvrir (porte, récipient)	1156
220	ORPHAN	orphelin	1149
221	OTHER	autre	197
222	PATH OR ROAD	chemin	2457
223	PENIS	membre viril, sexe de l’homme [common in insults; TSK béndè] [SYN:zòfól-ò ] -poss (inal): 1Sg bènd-èy, 3Sg bènd-ò , 3FullSg .ángá bènd-ô -ex of insult: bà:b-à.­bénd-ò your father’s prick!	1222
224	PERSON	chose ou personne jolie [DIMIN in form].	683
225	PESTLE	pilon	225
226	PICK	cueiller (fruit)	1486
227	PIG	cochon	1337
228	PISS	urine	592
229	PLACE (POSITION)	lieu	723
230	PLASTIC	caoutchouc, sac (en plastique); ballon	654
231	POCKET	poche -poss: 1Sg zìfíy-è , 2Sg zìfíy-ò-nó.] [cf. Za & TSK zí:bà , Ka zíbà , <Ar vj yb , similarly Ful njiiba, Hausaːljifu].	1851
232	PRICE	prix	657
233	PULL	dessiner [related to noun zé:r-ó 1].	1455
234	PUMPKIN	courge	864
235	PUSH	enfoncer, pousser	1452
236	RAIN (PRECIPITATION)	pluie	658
237	RAINBOW	arc-en-ciel	1733
238	RAW	(viande) cru, non cuit	1959
239	RAZOR	rasoir	151
240	RED	rouge	156
241	RIB	(une) côte	801
242	RIGHT	(main etc.) droit	1019
243	RING	anneau	1374
244	RIVER	fleuve	666
245	ROOF	terrasse (au toit)	769
246	ROOT	nerf, tendon, vaisseau sanguin, corde d’instrument de musique, air de musique, racine	670
247	ROTTEN	ê. pourri [adj fùmb-ò , Intens dús! , Fact fúmb-éyndí , cf. fùmb-ànd-à ].	1728
248	ROUGH	(surface) raide [<verb kású 1a] ­ex: sáhán kàs-ò harsh fabric	1923
249	RUN	courir	1519
250	SALT	sel	1274
251	SAND	sable	671
252	SAY	dire	1458
253	SCALE	écaille (de poisson ou de serpent)	266
254	SEE	voir	1409
255	SELL	vendre	1571
256	SEND	envoyer	1127
257	SEVEN	sept	1704
258	SEW	coudre	1457
259	SHARP	(lame) ê. tranchante [homophonous to kâ:n 1; cf. sèmbèlèy ] [adj kà:n-ò 2, Fact ká:n-éyndí 2].	1396
260	SHEEP	mouton	1331
261	SHEPHERD	berger	2544
262	SHIT (DEFECATE)	defecate, have a shit	676
263	SHOE	chaussure	1381
264	SHORT	court	1645
265	SHOW	exposer, montrer (qqch) -ex (reflexive): .ò ­nám [.ò. ­bó.] .bánj-éyndí s-â. they’ll show themselves to you	1039
266	SICKLE OR SCYTHE	faucille	2132
267	SIMILAR	comme, pareil à	1558
268	SING	chant, chanson	1261
269	SIT	asseoir, installer, habiter	1416
270	SIX	six	1703
271	SKIN	peau	763
272	SKY	(le) haut, ciel	1732
273	SLAVE	captif, esclave	812
274	SLEEP	dormir	1585
275	SLIP	(qn) glisser	1324
276	SMALL	ê. petit [Adj kátíyá 1b] [KS kacca ].	1246
277	SMELL	odeur	2124
278	SMOKE	fuméé	778
279	SMOOTH	aplanir, aplatir (surface d’un mur, ou sol d’une maison, avec une truelle.) [<Ful vmeel-].	1234
280	SNAKE	serpent	730
281	SOAP	savon	788
282	SONG	chan	1096
283	SPEAR	caoutchouc, lance-pierres	945
284	SPIN	filer (coton)	121
285	SPIRIT	âme, esprit vital (d'un vivant)	53
286	SPIT	cracher	1440
287	SPLEEN	rate	1744
288	SPRING OR WELL	(piège) sauter.	2144
289	STAR	etoile	1430
290	STEAL	voler	713
291	STOMACH	estomac	819
292	STONE	petite pierre, caillou, gravier	857
293	STRIKE OR BEAT	gifler, frapper, battre	2133
294	SUCK	lécher, sucer	1421
295	SUGAR	sucre	862
296	SUN	soleil	1343
297	SWALLOW	avale	897
298	SWEEP	balayer	230
299	SWEET	(goût) doux, sucré	717
300	SWIM	nager	1439
301	TAIL	queue	1220
302	TALK	dire, parler	2708
303	TASTE	goûter	1373
304	TEN	thé	1515
305	TESTICLES	oeuf, testicule	797
306	THICK	(bâton etc.) épais	1244
307	THIGH	cuisse	800
308	THING	chose	738
309	THINK	croire; réfléchir [cf. hò.gù, só:sê, lásá:bû, síkkê] -ex: à.bò .mí:ló [.ò.gú wìy-à/ he thinks they are doing the killing	2271
310	THORN	épine	124
311	THOUSAND	mille	1843
312	THREE	trois	492
313	THROAT	cou, gorge, col	1346
314	THROW	jeter	1456
315	TIE	attacher	1917
316	TOBACCO	tabac [related verb súndú 1a; SYN:táb-ò ; cf. hámpérê ]	974
317	TOE	doigt, orteil	1389
318	TOMORROW	demain	1329
319	TONGS	pinces (pour enlever les échardes); pinces (du forgeron)	272
320	TONGUE	lâcher	1205
321	TOOTH	dent	1380
322	TOUCH	toucher	1892
323	TRAP (PITFALL)	piège	1075
324	TRAVERSE	casser, détruire ; traverser	666
325	TREE	arbre	906
326	TROUGH	abreuvoir	205
327	TWENTY	vingt	1710
328	TWICE	deux fois	1546
329	TWO	deux	1498
330	UNTIE	délier, lâcher (animal etc.)	352
331	URINE	urine	1142
332	VAGINA	vagin	1836
333	VILLAGE	côté, village, pays natal	930
334	WAGES	payer, rembourser (qn)	1122
335	WALL (OF HOUSE)	mur	933
336	WATER	eau	948
337	WEAVE	tisser	133
338	WEEK	semaine	1469
339	WET	complètement trempé, très mouillé	1726
340	WHITE	blanc (de l'oeil, de l'oeuf)	1335
341	WIFE	épouse	1199
342	WIND	vent	960
343	WING	aile	1257
344	WOMAN	femme	962
345	WOOD	bois	1803
346	WORK	travailler	1803
347	WORK (LABOUR)	travail	984
348	WORLD	le monde, la vie	965
349	WRAPPER	pagne	1113
350	YEAR	an / annéé	1226
351	YELLOW	ê. jaune [SYN:.ó:ldê].	1424
