ID	DOCULECT	CONCEPT_IN_SOURCE	CONCEPT_FRENCH	IPA	VALUE	FORM	CONCEPTICON_ID	CONCEPT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGIDS
15	Tommo_So	visitor, guest (from out of town)	visiteur, étranger (en visite)	yòùnjì-nɛ́	yòùnjì-nɛ́ \\ yòùnjǔ-m	yòùnjì-nɛ́		GUEST OR STRANGER	j ¹/o ¹/u ⁿdʒ ¹/i + n ⁵/ɛ	6 7 7 1 7 9 4 7	AXYBZ_AX	JUYTI_NE	33	33.J.C 33.U.V 33.Y.V 33.T.C 33.I.V 33._._ 33.N.C 33.E.V	2.0 1.5 1.3 1.75 0.8 0.0 2.0 1.5	0	4 10
16	Dogul_Dom	visitor, guest (from out of town)	visiteur, étranger (en visite)	yàrù-wúl	yàrùwúl, bɛ̀mmɛ́	yàrùwúl		GUEST OR STRANGER	j ¹/a r ¹/u + w ⁵/u l	6 7 5 7 9 6 7 5	AXBZ_AXN	JARY_WYL	17	17.J.C 17.A.V 17.R.C 17.Y.V 17._._ 17.W.C 17.Y.V 17.L.c	2.0 1.5 1.75 0.8 0.0 2.0 1.5 0.8	0	7 8
17	Tebul_Ure	visitor, guest (from out of town)	visiteur, étranger (en visite)	lògòdé:	lògòdé:\\lògòdù-mbó	lògòdé:		GUEST OR STRANGER	l ¹/o ɡ ¹/o + d ⁵/eː	5 7 1 7 9 1 7	AXBZ_AX	LUKU_TE	30	30.L.C 30.U.V 30.K.C 30.U.V 30._._ 30.T.C 30.E.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	4 19
18	Yanda_Dom	visitor, guest (from out of town)	visiteur, étranger (en visite)	nò_nò:zù	nò nò:zù\\nò:zù-mù	nò_nò:zù		GUEST OR STRANGER	n ¹/o + n ¹/oː z ¹/u	4 7 9 4 7 3 7	AX_AXBZ	NU_NUSY	37	37.N.C 37.U.V 37._._ 37.N.C 37.U.V 37.S.C 37.Y.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	0	22 4
19	Bondu_So	visitor, guest (from out of town)	visiteur, étranger (en visite)	bèmbǎ:	bèmbǎ:\\bèmbà-mbó	bèmbǎ:		GUEST OR STRANGER	b ¹/e ⁿb ¹⁵/aː	1 7 1 7	AXBZ	PEPA	6	6.P.C 6.E.V 6.P.C 6.A.V	2.0 1.5 1.75 0.8	0	6
20	Bunoge	visitor, guest (from out of town)	visiteur, étranger (en visite)	dó:njì	dó:njì	dó:njì		GUEST OR STRANGER	d ⁵/oː ⁿdʒ ¹/i	1 7 1 7	AXBZ	TUTI	16	16.T.C 16.U.V 16.T.C 16.I.V	2.0 1.5 1.75 0.8	0	4
21	Donno_So	visitor, guest (from out of town)	visiteur, étranger (en visite)	wòɲjù-nɔ́	wòɲjù-nɔ́	wòɲjù-nɔ́		GUEST OR STRANGER	w ¹/o ⁿdʒ ¹/u + n ⁵/ɔ	6 7 1 7 9 4 7	AXBZ_AX	WUTY_NU	18	18.W.C 18.U.V 18.T.C 18.Y.V 18._._ 18.N.C 18.U.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	4 10
22	Tiranige_Diga	visitor, guest (from out of town)	visiteur, étranger (en visite)	bí:má	bí:má	bí:má		GUEST OR STRANGER	b ⁵/iː m ⁵/a	1 7 4 7	AXBZ	PIMA	31	31.P.C 31.I.V 31.M.C 31.A.V	2.0 1.5 1.75 0.8	0	6
23	Penange	visitor, guest (from out of town)	visiteur, étranger (en visite)	bì:mbà	bì:mbà	bì:mbà		GUEST OR STRANGER	b ¹/iː ⁿb ¹/a	1 7 1 7	AXBZ	PIPA	25	25.P.C 25.I.V 25.P.C 25.A.V	2.0 1.5 1.75 0.8	0	6
24	Mombo	visitor, guest (from out of town)	visiteur, étranger (en visite)	gìlà-gílí	gìlà gílí	gìlà-gílí		GUEST OR STRANGER	ɡ ¹/i l ¹/a + ɡ ⁵/i l ⁵/i	1 7 5 7 9 1 7 5 7	AXBZ_AXBZ	KILA_KILI	23	23.K.C 23.I.V 23.L.C 23.A.V 23._._ 23.K.C 23.I.V 23.L.C 23.I.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	0	13 14
25	Jamsay	visitor, guest (from out of town)	visiteur, étranger (en visite)	yérí-n	yérí-n	yérí-n		GUEST OR STRANGER	j ⁵/e r ⁵/i + n	6 7 5 7 9 4	AXBZ_A	JERI_N	21	21.J.C 21.E.V 21.R.C 21.I.V 21._._ 21.N.C	2.0 1.5 1.75 0.8 0.0 2.0	0	7 5
26	Toro_Tegu	visitor, guest (from out of town)	visiteur, étranger (en visite)	lòsù-rⁿu	lòsù-rⁿu	lòsù-rⁿu		GUEST OR STRANGER	l ¹/o s ¹/u + ∼/r̃ u	5 7 3 7 9 5 7	AXBZ_AX	LUSY_RY	36	36.L.C 36.U.V 36.S.C 36.Y.V 36._._ 36.R.C 36.Y.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	4 21
27	Bondu_So	visitor, guest (from out of town)	visiteur, étranger (en visite)	bɛ́mbàà	bɛ́mbàà	bɛ́mbàà		GUEST OR STRANGER	b ⁵/ɛ ⁿb ¹/aː	1 7 1 7	AXBZ	PEPA	6	6.P.C 6.E.V 6.P.C 6.A.V	2.0 1.5 1.75 0.8	0	6
28	Songhai_Kiini	[intr] (living thing) become old, elderly	(être vivant) devenir vieux, âgé	zé:n	zé:n	zé:n	1789	AGE	z ⁵/eː n	3 7 4	AXN	SEN	27	27.S.C 27.E.V 27.N.c	2.0 1.5 0.8	0	26
29	Songhai_Senni	[intr] (living thing) become old, elderly	(être vivant) devenir vieux, âgé	zé:n	zé:n	zé:n	1789	AGE	z ⁵/eː n	3 7 4	AXN	SEN	28	28.S.C 28.E.V 28.N.c	2.0 1.5 0.8	0	26
30	Bangime	age, long life	âge, longévité	ɡwìì	ɡwìì	ɡwìì	1789	AGE	ɡ w ¹/iː	1 6 7	ACX	KWI	3	3.K.C 3.W.C 3.I.V	2.0 1.5 1.5	0	23
31	Fulfulde	age, long life	âge, longévité	nayw-ude	naywude	nayw-ude	1789	AGE	n a j w + u d e	4 7 6 6 9 7 1 7	AXLN_XBZ	NAJW_YTE	19	19.N.C 19.A.V 19.J.c 19.W.c 19._._ 19.Y.V 19.T.C 19.E.V	2.0 1.5 1.1 0.8 0.0 1.5 1.75 0.8	0	30 31
32	Toro_Tegu	get old, age (verb)	vieiillir, ê. ou devenir vieux	yɔ̌w	yɔ̌w	yɔ̌w	1789	AGE	j ¹⁵/ɔ w	6 7 6	AXN	JUW	36	36.J.C 36.U.V 36.W.c	2.0 1.5 0.8	0	33
33	Ben_Tey	get old, age (verb)	vieiillir, ê. ou devenir vieux	pɛ́	pɛ́	pɛ́	1789	AGE	p ⁵/ɛ	1 7	AX	PE	5	5.P.C 5.E.V	2.0 1.5	0	24
34	Nanga	get old, age (verb)	vieiillir, ê. ou devenir vieux	pɛ́:	pɛ́:	pɛ́:	1789	AGE	p ⁵/ɛː	1 7	AX	PE	24	24.P.C 24.E.V	2.0 1.5	0	24
35	Gourou	get old, age (verb)	vieiillir, ê. ou devenir vieux	pɛ́:ⁿ	pɛ́:ⁿ	pɛ́:ⁿ	1789	AGE	p ⁵/ ∼/ɛː	1 7	AX	PE	20	20.P.C 20.E.V	2.0 1.5	0	24
36	Yorno_So	get old, age (verb)	vieiillir, ê. ou devenir vieux	pɛ́:	pɛ́:-	pɛ́:	1789	AGE	p ⁵/ɛː	1 7	AX	PE	38	38.P.C 38.E.V	2.0 1.5	0	24
37	Tommo_So	get old, age (verb)	vieiillir, ê. ou devenir vieux	pɛ́ɛ́ⁿ	pɛ́ɛ́ⁿ, pííⁿ-yɛ́	pɛ́ɛ́ⁿ	1789	AGE	p ⁵/ ∼/ɛː	1 7	AX	PE	33	33.P.C 33.E.V	2.0 1.5	0	24
38	Dogul_Dom	get old, age (verb)	vieiillir, ê. ou devenir vieux	páy-ndìyè	páy-ndìyè	páy-ndìyè	1789	AGE	p ⁵/a j + ⁿd ¹/i + j ¹/e	1 7 6 9 1 7 9 6 7	AXN_AX_AX	PAJ_TI_JE	17	17.P.C 17.A.V 17.J.c 17._._ 17.T.C 17.I.V 17._._ 17.J.C 17.E.V	2.0 1.5 0.8 0.0 2.0 1.5 0.0 2.0 1.5	0	24 28 29
39	Tebul_Ure	get old, age (verb)	vieiillir, ê. ou devenir vieux	pɛ́	pɛ́ (pɛ́-yà-, pɛ́-sɔ̀-, pèyà-lí-)	pɛ́	1789	AGE	p ⁵/ɛ	1 7	AX	PE	30	30.P.C 30.E.V	2.0 1.5	0	24
40	Bondu_So	get old, age (verb)	vieiillir, ê. ou devenir vieux	kúnjɛ́	kúnjɛ́	kúnjɛ́	1789	AGE	k ⁵/u ⁿdʒ ⁵/ɛ	1 7 1 7	AXBZ	KYTE	6	6.K.C 6.Y.V 6.T.C 6.E.V	2.0 1.5 1.75 0.8	0	25
41	Bunoge	get old, age (verb)	vieiillir, ê. ou devenir vieux	kɛ̀mnɔ̀_kánì	kɛ̀mnɔ̀ kánì, kɛ̀mnɔ̀ bílè	kɛ̀mnɔ̀_kánì	1789	AGE	k ¹/ɛ m n ¹/ɔ + k ⁵/a n ¹/i	1 7 4 4 7 9 1 7 4 7	AXMBZ_AXBZ	KEMNU_KANI	16	16.K.C 16.E.V 16.M.c 16.N.C 16.U.V 16._._ 16.K.C 16.A.V 16.N.C 16.I.V	2.0 1.5 1.1 1.75 0.8 0.0 2.0 1.5 1.75 0.8	0	26 27
42	Donno_So	get old, age (verb)	vieiillir, ê. ou devenir vieux	páy-ndɛ̀:	páy-nd-ɛ̀:-	páy-ndɛ̀:	1789	AGE	p ⁵/a j + ⁿd ¹/ɛː	1 7 6 9 1 7	AXN_AX	PAJ_TE	18	18.P.C 18.A.V 18.J.c 18._._ 18.T.C 18.E.V	2.0 1.5 0.8 0.0 2.0 1.5	0	24 28
43	Tomo_Kan	get old, age (verb)	vieiillir, ê. ou devenir vieux	pyɛ́:ⁿ	pyɛ́:ⁿ	pyɛ́:ⁿ	1789	AGE	p j ⁵/ ∼/ɛː	1 6 7	ACX	PJE	34	34.P.C 34.J.C 34.E.V	2.0 1.5 1.5	0	24
44	Tiranige_Diga	get old, age (verb)	vieiillir, ê. ou devenir vieux	kúnjó	kúnjó	kúnjó	1789	AGE	k ⁵/u ⁿdʒ ⁵/o	1 7 1 7	AXBZ	KYTU	31	31.K.C 31.Y.V 31.T.C 31.U.V	2.0 1.5 1.75 0.8	0	25
45	Mombo	get old, age (verb)	vieiillir, ê. ou devenir vieux	ká:nú_kánì	ká:nú kánì	ká:nú_kánì	1789	AGE	k ⁵/aː n ⁵/u + k ⁵/a n ¹/i	1 7 4 7 9 1 7 4 7	AXBZ_AXBZ	KANY_KANI	23	23.K.C 23.A.V 23.N.C 23.Y.V 23._._ 23.K.C 23.A.V 23.N.C 23.I.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	0	26 27
46	Penange	get old, age (verb)	vieiillir, ê. ou devenir vieux	ká:mnɔ́_kán	ká:mnɔ́ kán	ká:mnɔ́_kán	1789	AGE	k ⁵/aː m n ⁵/ɔ + k ⁵/a n	1 7 4 4 7 9 1 7 4	AXMBZ_AXN	KAMNU_KAN	25	25.K.C 25.A.V 25.M.c 25.N.C 25.U.V 25._._ 25.K.C 25.A.V 25.N.c	2.0 1.5 1.1 1.75 0.8 0.0 2.0 1.5 0.8	0	26 27
47	Bankan_Tey	get old, age (verb)	vieiillir, ê. ou devenir vieux	pɛ́	pɛ́	pɛ́	1789	AGE	p ⁵/ɛ	1 7	AX	PE	4	4.P.C 4.E.V	2.0 1.5	0	24
48	Jamsay	get old, age (verb)	vieiillir, ê. ou devenir vieux	pɛ́:ⁿ	pɛ́:ⁿ	pɛ́:ⁿ	1789	AGE	p ⁵/ ∼/ɛː	1 7	AX	PE	21	21.P.C 21.E.V	2.0 1.5	0	24
49	Perge_Tegu	get old, age (verb)	vieiillir, ê. ou devenir vieux	pɛ́:	pɛ́:	pɛ́:	1789	AGE	p ⁵/ɛː	1 7	AX	PE	26	26.P.C 26.E.V	2.0 1.5	0	24
50	Togo_Kan	get old, age (verb)	vieiillir, ê. ou devenir vieux	pɛ́:ⁿ	pɛ́:ⁿ	pɛ́:ⁿ	1789	AGE	p ⁵/ ∼/ɛː	1 7	AX	PE	32	32.P.C 32.E.V	2.0 1.5	0	24
51	Yanda_Dom	get old, age (verb)	vieiillir, ê. ou devenir vieux	pɛ́:	pɛ́:	pɛ́:	1789	AGE	p ⁵/ɛː	1 7	AX	PE	37	37.P.C 37.E.V	2.0 1.5	0	24
52	Toro_So	get old, age (verb)	vieiillir, ê. ou devenir vieux	pèy pèy	pèy pèy	pèy pèy	1789	AGE	p ¹/e j + p ¹/e j	1 7 6 9 1 7 6	AXN_AXN	PEJ_PEJ	35	35.P.C 35.E.V 35.J.c 35._._ 35.P.C 35.E.V 35.J.c	2.0 1.5 0.8 0.0 2.0 1.5 0.8	0	2 24
53	Toro_So	get old, age (verb)	vieiillir, ê. ou devenir vieux	péỳ	péỳ	péỳ	1789	AGE	p ⁵/e j	1 7 6	AXN	PEJ	35	35.P.C 35.E.V 35.J.c	2.0 1.5 0.8	0	2
54	Bondu_So	get old, age (verb)	vieiillir, ê. ou devenir vieux	kùnjì-lé	kùnjì-lé	kùnjì-lé	1789	AGE	k ¹/u ⁿdʒ ¹/i + l ⁵/e	1 7 1 7 9 5 7	AXBZ_AX	KYTI_LE	6	6.K.C 6.Y.V 6.T.C 6.I.V 6._._ 6.L.C 6.E.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	25 34
55	Bambara		aïeul, ancêtre	bɛ́ⁿbá	bɛ́ⁿbá	bɛ́ⁿbá	1669	ANCESTORS	b ⁵/ ∼/ɛ b ⁵/a	1 7 1 7	AXBZ	PEPA	2	2.P.C 2.E.V 2.P.C 2.A.V	2.0 1.5 1.75 0.8	0	34
56	Songhai_Kiini	ancestor	ancêtre	kàà	kàà	kàà	1669	ANCESTORS	k ¹/aː	1 7	AX	KA	27	27.K.C 27.A.V	2.0 1.5	0	35
57	Mombo	ancestor	ancêtre	ńdá_kúnjù	ńdá kúnjù	ńdá_kúnjù	1669	ANCESTORS	ⁿd ⁵/a + k ⁵/u ⁿdʒ ¹/u	1 7 9 1 7 1 7	AX_AXBZ	TA_KYTY	23	23.T.C 23.A.V 23._._ 23.K.C 23.Y.V 23.T.C 23.Y.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	0	39 40
58	Tommo_So	ancestor	ancêtre	mɔ̀ɛ̀-mì-nɛ́	ǹdɛ̀ émmé mɔ̀ɛ̀-mì-nɛ́	mɔ̀ɛ̀-mì-nɛ́	1669	ANCESTORS	m ¹/ɔ ¹/ɛ + m ¹/i + n ⁵/ɛ	4 7 7 9 4 7 9 4 7	AXZ_AX_AX	MUE_MI_NE	33	33.M.C 33.U.V 33.E.V 33._._ 33.M.C 33.I.V 33._._ 33.N.C 33.E.V	2.0 1.5 0.8 0.0 2.0 1.5 0.0 2.0 1.5	0	42 43 44
59	Nanga	ancestor	ancêtre	dùgú	nù: dùgí\\dùgú	dùgú	1669	ANCESTORS	d ¹/u ɡ ⁵/u	1 7 1 7	AXBZ	TYKY	24	24.T.C 24.Y.V 24.K.C 24.Y.V	2.0 1.5 1.75 0.8	0	41
60	Toro_Tegu	ancestor	ancêtre	tɛ̀ná	tɛ̀ná\\mǎ:	tɛ̀ná	1669	ANCESTORS	t ¹/ɛ n ⁵/a	1 7 4 7	AXBZ	TENA	36	36.T.C 36.E.V 36.N.C 36.A.V	2.0 1.5 1.75 0.8	0	45
61	Yorno_So	ancestor	ancêtre	tírɛ́	tírɛ́	tírɛ́	1669	ANCESTORS	t ⁵/i r ⁵/ɛ	1 7 5 7	AXBZ	TIRE	38	38.T.C 38.I.V 38.R.C 38.E.V	2.0 1.5 1.75 0.8	0	37
62	Perge_Tegu	ancestor	ancêtre	tìrɛ́	tìrɛ́	tìrɛ́	1669	ANCESTORS	t ¹/i r ⁵/ɛ	1 7 5 7	AXBZ	TIRE	26	26.T.C 26.I.V 26.R.C 26.E.V	2.0 1.5 1.75 0.8	0	37
63	Togo_Kan	ancestor	ancêtre	tìrɛ́	tìrɛ́	tìrɛ́	1669	ANCESTORS	t ¹/i r ⁵/ɛ	1 7 5 7	AXBZ	TIRE	32	32.T.C 32.I.V 32.R.C 32.E.V	2.0 1.5 1.75 0.8	0	37
64	Fulfulde	ancestor	ancêtre	njaatiraa-ɗoo	njaatiraaɗoo	njaatiraa-ɗoo	1669	ANCESTORS	ⁿdʒ aː t i r aː + ɗ oː	1 7 1 7 5 7 9 1 7	AXBYBZ_AX	TATIRA_TU	19	19.T.C 19.A.V 19.T.C 19.I.V 19.R.C 19.A.V 19._._ 19.T.C 19.U.V	2.0 1.5 1.75 1.3 1.75 0.8 0.0 2.0 1.5	0	37 38
65	Ben_Tey	ancestor	ancêtre	kùmbó	kùmbó	kùmbó	1669	ANCESTORS	k ¹/u ⁿb ⁵/o	1 7 1 7	AXBZ	KYPU	5	5.K.C 5.Y.V 5.P.C 5.U.V	2.0 1.5 1.75 0.8	0	36
66	Songhai_Senni	[n inal] grandmother, grandfather	grand-mère, grand-père	kà:gè	kà:jè ~ kà:gè	kà:gè	1669	ANCESTORS	k ¹/aː ɡ ¹/e	1 7 1 7	AXBZ	KAKE	28	28.K.C 28.A.V 28.K.C 28.E.V	2.0 1.5 1.75 0.8	0	35
67	Bangime	old person; parent(s); ancestor(s)	vieille personne; parent(s) (père, mère); ancêtre(s)	kāàⁿ	kāàⁿ	kāàⁿ	1669	ANCESTORS	k ¹³/ ∼/ãː 	1 7	AX	KA	3	3.K.C 3.A.V	2.0 1.5	0	35
68	Bangime	animal	animal	jíríbɛ̀	jíríbɛ̀	jíríbɛ̀	619	ANIMAL	j ⁵/i r ⁵/i + b ¹/ɛ	6 7 5 7 9 1 7	AXBZ_AX	JIRI_PE	3	3.J.C 3.I.V 3.R.C 3.I.V 3._._ 3.P.C 3.E.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	46 0
69	Bozo_Korondougou_nord		animal	biraⁿ_teu	biraⁿteu	biraⁿteu	619	ANIMAL	b i r ã + t e u	1 7 5 7 1 7 7	AXBYBYZ	PIRATEY	9	9.P.C 9.I.V 9.R.C 9.A.V 9.T.C 9.E.V 9.Y.V	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	54
70	Bozo_Tiema_Cewe		animal	koⁿoⁿbo	koⁿoⁿbo	koⁿoⁿbo	619	ANIMAL	k õː b o	1 7 1 7	AXBZ	KUPU	15	15.K.C 15.U.V 15.P.C 15.U.V	2.0 1.5 1.75 0.8	0	55
71	Toro_Tegu	domestic animal (esp. livestock)	animal domestique (surtout bétail)	àrùzàká	àrùzàká	àrùzàká	619	ANIMAL	¹/a r ¹/u + z ¹/a k ⁵/a	7 5 7 3 7 1 7	XBYBYBZ	ARYSAKA	36	36.A.V 36.R.C 36.Y.V 36.S.C 36.A.V 36.K.C 36.A.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	56 51
72	Ben_Tey	domestic animal (esp. livestock)	animal domestique (surtout bétail)	àrsɛ̌:	àrsɛ̌:-m	àrsɛ̌:	619	ANIMAL	¹/a r + s ¹⁵/ɛː	7 5 9 3 7	XN_AX	AR_SE	5	5.A.V 5.R.c 5._._ 5.S.C 5.E.V	1.5 0.8 0.0 2.0 1.5	0	56 51
73	Bankan_Tey	domestic animal (esp. livestock)	animal domestique (surtout bétail)	dá:bà-m	jáwdì-m	dá:bà-m	619	ANIMAL	d ⁵/aː b ¹/a + m	1 7 1 7 9 4	AXBZ_A	TAPA_M	4	4.T.C 4.A.V 4.P.C 4.A.V 4._._ 4.M.C	2.0 1.5 1.75 0.8 0.0 2.0	0	48 49
74	Nanga	domestic animal (esp. livestock)	animal domestique (surtout bétail)	gàsɛ̀gɛ́	gàsɛ̀gɛ́	gàsɛ̀gɛ́	619	ANIMAL	ɡ ¹/a + s ¹/ɛ ɡ ⁵/ɛ	1 7 9 3 7 1 7	AX_AXBZ	KA_SEKE	24	24.K.C 24.A.V 24._._ 24.S.C 24.E.V 24.K.C 24.E.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	0	56 51
75	Perge_Tegu	domestic animal (esp. livestock)	animal domestique (surtout bétail)	àsɛ̀gɛ́	àsɛ̀gɛ́	àsɛ̀gɛ́	619	ANIMAL	¹/a + s ¹/ɛ ɡ ⁵/ɛ	7 9 3 7 1 7	X_AXBZ	A_SEKE	26	26.A.V 26._._ 26.S.C 26.E.V 26.K.C 26.E.V	1.5 0.0 2.0 1.5 1.75 0.8	0	56 51
76	Gourou	domestic animal (esp. livestock)	animal domestique (surtout bétail)	gàrsɛ̀gɛ́	gàrsɛ̀gɛ́	gàrsɛ̀gɛ́	619	ANIMAL	ɡ ¹/a r + s ¹/ɛ ɡ ⁵/ɛ	1 7 5 3 7 1 7	AXMBYBZ	KARSEKE	20	20.K.C 20.A.V 20.R.c 20.S.C 20.E.V 20.K.C 20.E.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	0	56 51
77	Togo_Kan	domestic animal (esp. livestock)	animal domestique (surtout bétail)	gìrⁿí_árúsɛ̀gɛ̀	gìrⁿí árúsɛ̀gɛ̀	gìrⁿí_árúsɛ̀gɛ̀	619	ANIMAL	ɡ ¹/i r̃ + ⁵/i + ⁵/a r ⁵/u + s ¹/ɛ ɡ ¹/ɛ	1 7 5 9 7 9 7 5 7 9 3 7 1 7	AXN_X_XBZ_AXBZ	KIR_I_ARY_SEKE	32	32.K.C 32.I.V 32.R.c 32._._ 32.I.V 32._._ 32.A.V 32.R.C 32.Y.V 32._._ 32.S.C 32.E.V 32.K.C 32.E.V	2.0 1.5 0.8 0.0 1.5 0.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	0	57 49 56 51
78	Yorno_So	domestic animal (esp. livestock)	animal domestique (surtout bétail)	àrùsɛ̀gɛ́	àrùsɛ̀gɛ́	àrùsɛ̀gɛ́	619	ANIMAL	¹/a r ¹/u + s ¹/ɛ ɡ ⁵/ɛ	7 5 7 9 3 7 1 7	XBZ_AXBZ	ARY_SEKE	38	38.A.V 38.R.C 38.Y.V 38._._ 38.S.C 38.E.V 38.K.C 38.E.V	1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	0	56 51
